"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade"
"6311","Tamiops mcclellandii",843314,"Sciuridae","Rodentia",45.84,1,"Yes",15.33333,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.599921371259,26.4259436778458,"Wild","","Euarchontoglires"
"6312","Tamiops rodolphii",184615,"Sciuridae","Rodentia",64.95,0,"Yes",11.68333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.66337209627,12.3401974084554,"Wild","","Euarchontoglires"
"6313","Tamiops swinhoei",149975,"Sciuridae","Rodentia",85,1,"Yes",28.417,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.012682678047,28.6727944269114,"Wild","","Euarchontoglires"
"6314","Tanyuromys asphrastus",7067314,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6315","Tanyuromys thomasleei",7067315,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6316","Tapecomys primus",972221,"Cricetidae","Rodentia",62.33,1,"Yes",-21.433333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63,-21,"Wild","","Euarchontoglires"
"6317","Taphozous achates",3613552,"Emballonuridae","Chiroptera",26.96,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6318","Taphozous australis",514592,"Emballonuridae","Chiroptera",22.9,1,"Yes",-20.293373,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.765213303273,-15.8021356086286,"Wild","","Laurasiatheria"
"6319","Taphozous georgianus",652339,"Emballonuridae","Chiroptera",27.66,1,"Yes",-23.965388,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.945066141716,-19.4336476065465,"Wild","","Laurasiatheria"
"6320","Taphozous hamiltoni",3613550,"Emballonuridae","Chiroptera",22,1,"Yes",4.5,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,4.0024421496998,"Wild","","Laurasiatheria"
