species,median_lat
Cacajao rubicundus,-8.2498205
Caedocyon tedfordi,42
Caenolestes caniventer,-5.268429
Caenolestes condorensis,-3.4504165
Caenolestes convelatus,6.0833335
Caenolestes fuliginosus,4.49537
Caenolestes sangay,-2.2374395
Callicebus melanochir,-12.68189
Callicebus nigrifrons,-20.581972999999998
Callimico goeldii,-8.666667
Callistomys pictus,-11.28517
Callithrix aurita,-21.14414
Callithrix flaviceps,-19.935556
Callithrix geoffroyi,-1.333
Callithrix humeralifer,-3.124012
Callithrix jacchus,-16.032590143580283
Callithrix kuhlii,-15.391743
Callithrix penicillata,-19.953433
Callorhinus ursinus,56.87582
Callosciurus adamsi,5.873574
Callosciurus baluensis,6.02477
Callosciurus inornatus,21.766665500000002
Callosciurus nigrovittatus,-6.33293
Callosciurus notatus,1.3631989999999998
Callosciurus orestes,6.0801
Callosciurus phayrei,18.933332
Callosciurus pygerythrus,26.608788
Callosciurus quinquestriatus,25.564125
Callospermophilus madrensis,26.405403
Callospermophilus saturatus,46.917666
Calomys boliviae,-26.3213955
Calomys callidus,-31.884252
Calomys callosus,-13.066667
Calomys expulsus,-15.783334
Calomys hummelincki,9.32
Calomys laucha,-33.483333
Calomys musculinus,-33.483333
Calomys sorellus,-12.766666
Calomys tener,-20.4
Calomyscus bailwardi,30.6667
Calomyscus baluchi,34.8311
Calomyscus hotsoni,26.966667
Calomyscus mystax,35.900002
Calomyscus urartensis,39.292301
Caloprymnus campestris,-28.35
Caluromys derbianus,11.823486781664574
Caluromys lanatus,-1.0783
Caluromys laniger,4.1584
Caluromys philander,-2.335
Caluromysiops irrupta,-12.341667000000001
Calyptophractus retusus,-17.788931
Camelus bactrianus,43.513238
Camelus dromedarius,-25.09425
Canis adustus,10.320211
Canis anthus,15.8511635
Canis armbrusteri,28.76
Canis aureus,32.611684
Canis brachypus,42.049999
Canis cedazoensis,21.7874995
Canis davisi,43.599998
Canis dingo,-24.088141896999026
Canis dirus,27.63
Canis edwardii,29.01
Canis ferox,37.200001
Canis gregarius,42.85
Canis haydeni,29.68
Canis latrans,36.952737
Canis lemur,29.7749995
Canis lepophagus,37.200001
Canis saevus,29.55
Canis simensis,6.908793
Canis temerarius,36.5
Canis ursinus,40.3500005
Canis vafer,42.700001
Cannomys badius,21.762932499999998
Cansumys canus,34.589722
Caperea marginata,-38.35
Capra caucasica,42.65819
Capra nubiana,29.992544
Capra walie,13.25
Capricornis crispus,37.541666
Capricornis rubidus,24.083439
Capricornis sumatraensis,27.549999
Capricornis swinhoei,23.88581
Caprolagus hispidus,27.0547115
Capromys pilorides,22.034512
Caracal caracal,30.17927
Cardiocranius paradoxus,43.62437
Cardioderma cor,-3.303056
Carlito syrichta,7.072210999999999
Carollia benkeithi,-12.6
Carollia brevicauda,7.252972
Carollia castanea,5.667778
Carollia manu,-13.054669
Carollia monohernandezi,6.222528
Carollia perspicillata,5.19845
Carollia sowelli,17.32085
Carollia subrufa,16.23467641331015
Carpitalpa arendsi,-18.07
Carpocyon webbi,42.700001
Carpomys melanurus,20.368828
Carpomys phaeurus,17.1308505
Carterodon sulcidens,-19.634701
Casinycteris argynnis,1.35
Casinycteris campomaanensis,2.397
Castor canadensis,42.642949
Catagonus wagneri,-21.896099999999997
Catopithecus browni,29.5
Catopuma badia,5.054994499999999
Catopuma temminckii,16.616671
Cavia fulgida,-23.183695787766766
Cavia porcellus,10.2
Cebus aequatorialis,-0.0526275
Cebus brunneus,10.4360055
Cebus cuscinus,-0.936561
Cebus fatuellus,-10.029073
Cebus imitator,9.4
Cebus kaapori,-3.61434
Cebus malitiosus,11.310031
Cebus unicolor,-9.3
