"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"225","Antechinus_fuliginosus","fuliginosus","Antechinus",0,0,0,0,0,NA,0,0,0,0
"226","Antechinus_godmani","godmani","Antechinus",1,57,1,1,0,24,1,0.042,1,0
"227","Antechinus_hageni","hageni","Antechinus",0,0,0,0,0,NA,0,0,0,0
"228","Antechinus_leo","leo","Antechinus",0,0,0,0,0,NA,0,0,0,0
"229","Antechinus_minutissimus","minutissimus","Antechinus",0,0,0,0,0,NA,0,0,0,0
"230","Antechinus_mysticus","mysticus","Antechinus",2,5,2,2,0,4,2,0.5,0,2
"231","Antechinus_naso","naso","Antechinus",0,0,0,0,0,NA,0,0,0,0
"232","Antechinus_stuartii","stuartii","Antechinus",17,478,14,17,0,34,11,0.324,11,3
"233","Antechinus_subtropicus","subtropicus","Antechinus",2,5,2,2,0,4,2,0.5,0,2
"234","Antechinus_swainsonii","swainsonii","Antechinus",5,118,4,5,0,27,4,0.148,3,1
"235","Antechinus_vandycki","vandycki","Antechinus",0,0,0,0,0,NA,0,0,0,0
"236","Anthops_ornatus","ornatus","Anthops",0,0,0,0,0,NA,0,0,0,0
"237","Antidorcas_angolensis","angolensis","Antidorcas",0,0,0,0,0,NA,0,0,0,0
"238","Antidorcas_boulei","boulei","Antidorcas",0,0,0,0,0,NA,0,0,0,0
"239","Antidorcas_gaudryi","gaudryi","Antidorcas",0,0,0,0,0,NA,0,0,0,0
"240","Antidorcas_marsupialis","marsupialis","Antidorcas",18,435,14,18,0,37,9,0.243,9,0
"241","Antillomys_rayi","rayi","Antillomys",0,0,0,0,0,NA,0,0,0,0
"242","Antilocapra_pacifica","pacifica","Antilocapra",0,0,0,0,0,NA,0,0,0,0
"243","Antilope_burchelli","burchelli","Antilope",0,0,0,0,0,NA,0,0,0,0
"244","Antilope_caerula","caerula","Antilope",0,0,0,0,0,NA,0,0,0,0
"245","Antilope_cervicapra","cervicapra","Antilope",16,119,15,14,0,49,5,0.102,2,1
"246","Antilope_claudi","claudi","Antilope",0,0,0,0,0,NA,0,0,0,0
"247","Antilope_depressicornis","depressicornis","Antilope",0,0,0,0,0,NA,0,0,0,0
"248","Antilope_dichotoma","dichotoma","Antilope",0,0,0,0,0,NA,0,0,0,0
"249","Antilope_doria","doria","Antilope",0,0,0,0,0,NA,0,0,0,0
"250","Antilope_equina","equina","Antilope",0,0,0,0,0,NA,0,0,0,0
"251","Antilope_euryceros","euryceros","Antilope",0,0,0,0,0,NA,0,0,0,0
"252","Antilope_lunata","lunata","Antilope",0,0,0,0,0,NA,0,0,0,0
"253","Antilope_mhorr","mhorr","Antilope",0,0,0,0,0,NA,0,0,0,0
"254","Antilope_mytilopes","mytilopes","Antilope",0,0,0,0,0,NA,0,0,0,0
"255","Antilope_saltiana","saltiana","Antilope",0,0,0,0,0,NA,0,0,0,0
"256","Antilope_subulata","subulata","Antilope",0,0,0,0,0,NA,0,0,0,0
"257","Antilope_triangularis","triangularis","Antilope",0,0,0,0,0,NA,0,0,0,0
"258","Antilope_villosa","villosa","Antilope",0,0,0,0,0,NA,0,0,0,0
"259","Antilope_zebra","zebra","Antilope",0,0,0,0,0,NA,0,0,0,0
"260","Antilope_zebrata","zebrata","Antilope",0,0,0,0,0,NA,0,0,0,0
"261","Antrozous_dubiaquercus","dubiaquercus","Antrozous",1,4,1,1,0,12,1,0.083,0,0
"262","Antrozous_pallidus","pallidus","Antrozous",9,128,8,8,1,39,8,0.205,6,2
"263","Aonyx_capensis","capensis","Aonyx",15,230,12,15,0,36,8,0.222,8,2
"264","Aonyx_cinereus","cinereus","Aonyx",23,211,18,20,1,27,8,0.296,8,5
"265","Aotus_boliviensis","boliviensis","Aotus",0,0,0,0,0,NA,0,0,0,0
"266","Aotus_brumbacki","brumbacki","Aotus",1,1,1,1,0,11,1,0.091,0,0
"267","Aotus_griseimembra","griseimembra","Aotus",2,172,2,2,0,25,2,0.08,1,0
"268","Aotus_jorgehernandezi","jorgehernandezi","Aotus",0,0,0,0,0,NA,0,0,0,0
"269","Aotus_lemurinus","lemurinus","Aotus",6,214,6,6,0,25,4,0.16,4,0
"270","Aotus_miconax","miconax","Aotus",6,74,6,6,0,26,5,0.192,3,0
"271","Aotus_nancymaae","nancymaae","Aotus",27,452,17,27,0,31,13,0.419,14,2
"272","Aotus_nigriceps","nigriceps","Aotus",4,25,4,4,0,17,2,0.118,1,1
"273","Aotus_rufipes","rufipes","Aotus",0,0,0,0,0,NA,0,0,0,0
"274","Aotus_trivirgatus","trivirgatus","Aotus",67,1896,41,65,1,39,23,0.59,40,0
"275","Aotus_vociferans","vociferans","Aotus",7,79,5,7,0,19,5,0.263,3,1
"276","Aotus_zonalis","zonalis","Aotus",1,7,1,1,0,11,1,0.091,0,0
"277","Apodemus_alpicola","alpicola","Apodemus",3,92,3,3,0,18,2,0.111,2,1
"278","Apodemus_argenteus","argenteus","Apodemus",3,48,3,2,0,17,1,0.059,1,0
"279","Apodemus_atavus","atavus","Apodemus",0,0,0,0,0,NA,0,0,0,0
"280","Apodemus_caesareanus","caesareanus","Apodemus",0,0,0,0,0,NA,0,0,0,0
"281","Apodemus_chejuensis","chejuensis","Apodemus",1,3,1,1,0,10,1,0.1,0,0
"282","Apodemus_chevrieri","chevrieri","Apodemus",1,15,1,1,0,4,1,0.25,1,1
"283","Apodemus_ciscaucasicus","ciscaucasicus","Apodemus",0,0,0,0,0,NA,0,0,0,0
"284","Apodemus_epimelas","epimelas","Apodemus",1,10,1,1,0,15,1,0.067,1,0
"285","Apodemus_flavicollis","flavicollis","Apodemus",25,383,22,23,0,26,11,0.423,13,4
"286","Apodemus_fulvipectus","fulvipectus","Apodemus",0,0,0,0,0,NA,0,0,0,0
"287","Apodemus_gurkha","gurkha","Apodemus",1,48,1,1,0,17,1,0.059,1,0
"288","Apodemus_hermonensis","hermonensis","Apodemus",2,22,2,2,0,26,2,0.077,2,0
"289","Apodemus_hyrcanicus","hyrcanicus","Apodemus",1,10,1,1,0,15,1,0.067,1,0
"290","Apodemus_iconicus","iconicus","Apodemus",0,0,0,0,0,NA,0,0,0,0
"291","Apodemus_ilex","ilex","Apodemus",1,15,1,1,0,4,1,0.25,1,1
"292","Apodemus_latronum","latronum","Apodemus",0,0,0,0,0,NA,0,0,0,0
"293","Apodemus_levantinus","levantinus","Apodemus",0,0,0,0,0,NA,0,0,0,0
"294","Apodemus_mystacinus","mystacinus","Apodemus",6,165,6,5,1,26,4,0.154,4,1
"295","Apodemus_nigrus","nigrus","Apodemus",0,0,0,0,0,NA,0,0,0,0
"296","Apodemus_pallipes","pallipes","Apodemus",0,0,0,0,0,NA,0,0,0,0
"297","Apodemus_ponticus","ponticus","Apodemus",0,0,0,0,0,NA,0,0,0,0
"298","Apodemus_rusiges","rusiges","Apodemus",0,0,0,0,0,NA,0,0,0,0
