"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin","sum_gtrends","log_sumgtrends","h_conserv","logh1_conserv","gtrends_bin"
"4610","Paradoxurus minax",7656209,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","minax","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4611","Paradoxurus minor",7656210,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","minor","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4612","Paradoxurus nictitans",7656211,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","nictitans","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4613","Paradoxurus nigrifrons",7656212,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","nigrifrons","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4614","Paradoxurus nipalensis",7656213,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","nipalensis","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4615","Paradoxurus pallasii",7656214,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","pallasii","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4616","Paradoxurus quadriscriptus",7656215,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","quadriscriptus","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4617","Paradoxurus sabanus",7656216,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","sabanus","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4618","Paradoxurus strictus",7656217,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","strictus","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4619","Paradoxurus sumbanus",7656218,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","sumbanus","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4620","Paradoxurus torvus",7656219,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","torvus","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4621","Paradoxurus vicinus",7656220,"Viverridae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","vicinus","Paradoxurus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4622","Paradoxurus zeylonensis",650612,"Viverridae","Carnivora",2780.75,1,"Yes",7.3183145,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.3344247404952,7.67110293456823,"Wild","","Laurasiatheria","zeylonensis","Paradoxurus",3,77,3,3,0,12,3,0.25,2,0,0.602059991327962,3.44416194589367,1,1,3,0,0,0,0,0
"4623","Paraechinus amir",7656525,"Erinaceidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","amir","Paraechinus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4624","Paraechinus deserti",7656526,"Erinaceidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","deserti","Paraechinus",1,4,1,1,0,4,1,0.25,0,1,0.301029995663981,NA,NA,0,3,0,0,0,0,0
"4625","Paraechinus dorsalis",7656527,"Erinaceidae","Erinaceomorpha",NA,NA,"Yes",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,17,"Wild","","Laurasiatheria","dorsalis","Paraechinus",1,4,1,1,0,4,1,0.25,0,1,0.301029995663981,NA,NA,0,3,0,0,0,0,0
"4626","Paraechinus hypomelas",3614700,"Erinaceidae","Erinaceomorpha",213,1,"Yes",30.383433,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3425694568388,29.3658493970861,"Wild","","Laurasiatheria","hypomelas","Paraechinus",13,282,11,13,0,51,6,0.118,3,3,0.845098040014257,2.32837960343874,1,0,3,0,0,1,0.301029995663981,0
"4627","Paraechinus ludlowi",7656528,"Erinaceidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","ludlowi","Paraechinus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4628","Paraechinus micropus",3614698,"Erinaceidae","Erinaceomorpha",171,1,"Yes",25.869205,"Least Concern","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9999999999998,23.0037047626267,"Wild","","Laurasiatheria","micropus","Paraechinus",15,26,8,14,0,58,3,0.052,0,0,0.602059991327962,2.23299611039215,1,1,3,0,0,0,0,0
"4629","Paraechinus niger",7656529,"Erinaceidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","niger","Paraechinus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4630","Paraechinus nudiventris",3614699,"Erinaceidae","Erinaceomorpha",234.14,0,"Yes",8.262117,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,9,"Wild","","Laurasiatheria","nudiventris","Paraechinus",3,2,2,3,0,2,1,0.5,0,1,0.301029995663981,2.36947561401833,1,0,3,0,0,1,0.301029995663981,0
"4631","Paraechinus oniscus",7656530,"Erinaceidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","oniscus","Paraechinus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4632","Paragalago cocos",7067593,"Galagidae","Primates",NA,NA,"Yes",-2.157152,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,-2.00121958443328,"Wild","","Euarchontoglires","cocos","Paragalago",0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,3,0,0,0,0,0
"4633","Paragalago zanzibaricus",7067594,"Galagidae","Primates",147.35,1,"Yes",-10.8667,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4960746998598,-16.5245108886038,"Wild","","Euarchontoglires","zanzibaricus","Paragalago",9,256,7,8,0,38,7,0.184,5,0,0.903089986991944,NA,NA,0,3,0,0,1,0.301029995663981,0
"4634","Parahyaena brunnea",742313,"Hyaenidae","Carnivora",42977.93,1,"Yes",NA,"Near Threatened","medicine","other","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","brunnea","Parahyaena",121,2209,67,115,3,150,27,0.18,64,6,1.44715803134222,NA,NA,1,3,536,2.72997428569956,12,1.11394335230684,1
"4635","Parahydromys asper",640015,"Muridae","Rodentia",540,1,"Yes",-6.08291025471466,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,-6.00367070585998,"Wild","","Euarchontoglires","asper","Parahydromys",1,11,1,1,0,13,1,0.077,1,0,0.301029995663981,2.73239375982297,1,0,3,0,0,0,0,0
"4636","Parahypsugo bellieri",136262,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","bellieri","Parahypsugo",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4637","Parahypsugo crassulus",136222,"Vespertilionidae","Chiroptera",6.09,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","crassulus","Parahypsugo",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4638","Parahypsugo eisentrauti",635106,"Vespertilionidae","Chiroptera",6.11,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","eisentrauti","Parahypsugo",2,68,2,1,1,20,2,0.1,1,1,0.477121254719662,NA,NA,0,3,0,0,1,0.301029995663981,0
"4639","Paraleptomys rufilatus",3609978,"Muridae","Rodentia",55,1,"Yes",-3.30069205016044,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,-3.00045740230187,"Wild","","Euarchontoglires","rufilatus","Paraleptomys",0,0,0,0,0,NA,0,0,0,0,0,1.74036268949424,3,1,3,0,0,0,0,0
"4640","Paraleptomys wilhelmina",3610992,"Muridae","Rodentia",33,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","wilhelmina","Paraleptomys",0,0,0,0,0,NA,0,0,0,0,0,1.51851393987789,NA,0,3,0,0,0,0,0
"4641","Paramelomys gressitti",3608691,"Muridae","Rodentia",84.49,0,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","gressitti","Paramelomys",0,0,0,0,0,NA,0,0,0,0,0,1.92680531011161,3,0,3,0,0,0,0,0
"4642","Paramelomys levipes",640011,"Muridae","Rodentia",82.81,1,"Yes",-4.15,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.000000000002,-7.00107163467539,"Wild","","Euarchontoglires","levipes","Paramelomys",2,13,2,2,0,13,1,0.077,1,0,0.301029995663981,1.91808278464219,1,0,3,0,0,0,0,0
"4643","Paramelomys lorentzii",466617,"Muridae","Rodentia",150,1,"Yes",-3.324,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,-5.00076357997977,"Wild","","Euarchontoglires","lorentzii","Paramelomys",2,3,2,2,0,4,1,0.25,0,1,0.301029995663981,2.17609125905568,1,0,3,0,0,0,0,0
"4644","Paramelomys mollis",3608693,"Muridae","Rodentia",90.05,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","mollis","Paramelomys",0,0,0,0,0,NA,0,0,0,0,0,1.95448371715555,1,0,3,0,0,0,0,0
"4645","Paramelomys moncktoni",581020,"Muridae","Rodentia",80.56,1,"Yes",-4.0440655,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.999999999999,-5.00076357997971,"Wild","","Euarchontoglires","moncktoni","Paramelomys",2,4,2,2,0,23,1,0.043,0,0,0.301029995663981,1.90611945754556,1,0,3,0,0,0,0,0
"4646","Paramelomys naso",3608692,"Muridae","Rodentia",84.49,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","naso","Paramelomys",0,0,0,0,0,NA,0,0,0,0,0,1.92680531011161,1,0,3,0,0,0,0,0
"4647","Paramelomys platyops",640013,"Muridae","Rodentia",85.6,1,"Yes",-3.3046920103542,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.600880466367,-6.20359972461022,"Wild","","Euarchontoglires","platyops","Paramelomys",27,609,20,24,1,47,10,0.213,12,3,1.04139268515822,1.93247376467715,1,0,3,0,0,1,0.301029995663981,0
"4648","Paramelomys rubex",640008,"Muridae","Rodentia",47.16,1,"Yes",-7.3481,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.500153208455,-3.00320524155362,"Wild","","Euarchontoglires","rubex","Paramelomys",5,43,5,5,0,47,2,0.043,2,1,0.477121254719662,1.67357379642305,1,0,3,0,0,0,0,0
"4649","Parantechinus apicalis",648429,"Dasyuridae","Dasyuromorphia",68.75,1,"Yes",-30.3,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.98822292876,-34.0235600163583,"Wild","","Marsupials & monotremes","apicalis","Parantechinus",19,343,11,19,0,38,9,0.237,9,1,1,1.8372727025023,3,0,3,0,0,4,0.698970004336019,0
"4650","Paranyctimene raptor",798258,"Pteropodidae","Chiroptera",24.31,1,"Yes",-5.07114433991086,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.667413005129,-4.67154417652764,"Wild","","Laurasiatheria","raptor","Paranyctimene",2,91,2,2,0,51,2,0.039,2,0,0.477121254719662,1.38578495884334,1,0,3,0,0,0,0,0
"4651","Paranyctimene tenax",3613528,"Pteropodidae","Chiroptera",24.31,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","tenax","Paranyctimene",0,0,0,0,0,NA,0,0,0,0,0,1.38578495884334,1,0,3,0,0,0,0,0
"4652","Parascalops breweri",680971,"Talpidae","Soricomorpha",51,1,"Yes",42.7241,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.5232473459478,42.6762043931575,"Wild","","Laurasiatheria","breweri","Parascalops",13,152,10,12,1,42,5,0.119,4,1,0.778151250383644,1.70757017609794,1,0,3,0,0,0,0,0
"4653","Parascalops hesperomys",6146663,"Talpidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","hesperomys","Parascalops",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4654","Parascaptor leucura",3614309,"Talpidae","Soricomorpha",45.6,1,"Yes",25.299999,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.0000000000006,24.5126956874646,"Wild","","Laurasiatheria","leucura","Parascaptor",3,6,3,3,0,55,1,0.018,0,0,0.301029995663981,1.65896484266444,1,0,3,0,0,0,0,0
"4655","Parastrellus hesperus",1034632,"Vespertilionidae","Chiroptera",3.7,1,"Yes",32.334585,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.890787443694,32.6620005565807,"Wild","","Laurasiatheria","hesperus","Parastrellus",29,367,19,27,1,46,13,0.283,15,1,1.14612803567824,NA,1,0,3,0,0,1,0.301029995663981,0
"4656","Paratriaenops auritus",1071075,"Hipposideridae","Chiroptera",8.6,0,"Yes",-12.9183,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,-13,"Wild","","Laurasiatheria","auritus","Paratriaenops",6,61,4,5,1,15,5,0.333,2,0,0.778151250383644,NA,2,0,3,0,0,0,0,0
"4657","Paratriaenops furculus",221782,"Hipposideridae","Chiroptera",5.56,1,"Yes",-20.79,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1329376162924,-21.351425154133,"Wild","","Laurasiatheria","furculus","Paratriaenops",9,91,8,8,1,18,6,0.333,3,1,0.845098040014257,NA,1,0,3,0,0,0,0,0
"4658","Paratriaenops pauliani",6146495,"Rhinonycteridae","Chiroptera",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","pauliani","Paratriaenops",1,13,1,1,0,13,1,0.077,1,0,0.301029995663981,NA,NA,0,3,0,0,0,0,0
"4659","Paraxerus alexandri",152109,"Sciuridae","Rodentia",52,1,"Yes",0.6667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4994410806055,0.500247801862978,"Wild","","Euarchontoglires","alexandri","Paraxerus",0,0,0,0,0,NA,0,0,0,0,0,1.7160033436348,1,0,3,0,0,0,0,0
"4660","Paraxerus boehmi",3609124,"Sciuridae","Rodentia",70,1,"Yes",0.15,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5223378768789,-0.489731317184798,"Wild","","Euarchontoglires","boehmi","Paraxerus",0,0,0,0,0,NA,0,0,0,0,0,1.84509804001426,1,0,3,0,0,0,0,0
"4661","Paraxerus cepapi",474587,"Sciuridae","Rodentia",180,1,"Yes",-19.93,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1335485835581,-18.0077233282438,"Wild","","Euarchontoglires","cepapi","Paraxerus",9,133,8,9,0,44,7,0.159,6,1,0.903089986991944,2.25527250510331,1,0,3,133,2.12710479836481,0,0,1
"4662","Paraxerus cooperi",3609126,"Sciuridae","Rodentia",250,1,"Yes",6.22,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6.00367070585999,"Wild","","Euarchontoglires","cooperi","Paraxerus",1,10,1,1,0,7,1,0.143,1,0,0.301029995663981,2.39794000867204,NA,0,3,0,0,1,0.301029995663981,0
"4663","Paraxerus flavivittis",7654906,"Sciuridae","Rodentia",NA,NA,"Yes",-4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,-5,"Wild","","Euarchontoglires","flavivittis","Paraxerus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4664","Paraxerus flavovittis",3609122,"Sciuridae","Rodentia",160,1,"Yes",-10.655567,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0068008213914,-11.0357449715672,"Wild","","Euarchontoglires","flavovittis","Paraxerus",1,7,1,1,0,10,1,0.1,0,0,0.301029995663981,2.20411998265593,1,0,3,0,0,1,0.301029995663981,0
"4665","Paraxerus lucifer",3609127,"Sciuridae","Rodentia",700,1,"Yes",-9.12536,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9999999999999,-10.0061581575147,"Wild","","Euarchontoglires","lucifer","Paraxerus",0,0,0,0,0,NA,0,0,0,0,0,2.84509804001426,NA,0,3,0,0,0,0,0
"4666","Paraxerus ochraceus",628180,"Sciuridae","Rodentia",104.3,1,"Yes",-1.233333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5875409088085,-2.18724557736755,"Wild","","Euarchontoglires","ochraceus","Paraxerus",2,31,2,2,0,53,2,0.038,1,0,0.477121254719662,2.01828430842653,1,0,3,0,0,0,0,0
"4667","Paraxerus palliatus",3609123,"Sciuridae","Rodentia",309.31,1,"Yes",-7.765647,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9975553579504,-4.01222866109081,"Wild","","Euarchontoglires","palliatus","Paraxerus",4,37,3,4,0,38,4,0.105,1,0,0.698970004336019,2.49039396098156,1,0,3,0,0,0,0,0
"4668","Paraxerus poensis",3609125,"Sciuridae","Rodentia",124.5,1,"Yes",4.5991,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.54906134518785,6.46014161609685,"Wild","","Euarchontoglires","poensis","Paraxerus",0,0,0,0,0,NA,0,0,0,0,0,2.09516935143176,1,1,3,0,0,0,0,0
"4669","Paraxerus vexillarius",628182,"Sciuridae","Rodentia",675,1,"Yes",-6,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6655752595049,-7.67110293456822,"Wild","","Euarchontoglires","vexillarius","Paraxerus",0,0,0,0,0,NA,0,0,0,0,0,2.82930377283102,1,0,3,0,0,0,0,0
"4670","Paraxerus vincenti",3609120,"Sciuridae","Rodentia",190.19,2,"Yes",-15.39933,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,-15,"Wild","","Euarchontoglires","vincenti","Paraxerus",0,0,0,0,0,NA,0,0,0,0,0,2.27918767843215,3,1,3,0,0,0,0,0
"4671","Pardofelis marmorata",660452,"Felidae","Carnivora",2854.25,1,"Yes",5.4,"Near Threatened","food_human","handicrafts_jewellery","medicine","other_household_goods","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,5.00076357997973,"Wild","","Laurasiatheria","marmorata","Pardofelis",41,744,28,39,0,89,16,0.18,19,4,1.23044892137827,3.45549200972657,NA,1,3,1218,3.08600370561838,13,1.14612803567824,1
"4672","Parotomys brantsii",386285,"Muridae","Rodentia",129.5,1,"Yes",-29.25,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6925918644809,-31.3685638398297,"Wild","","Euarchontoglires","brantsii","Parotomys",25,368,15,23,2,32,12,0.375,17,0,1.11394335230684,2.11226976841727,1,0,3,0,0,3,0.602059991327962,0
"4673","Parotomys littledalei",386287,"Muridae","Rodentia",127,1,"Yes",-29.585,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2121568781204,-25.8577793933279,"Wild","","Euarchontoglires","littledalei","Parotomys",9,85,8,7,2,23,4,0.174,4,0,0.698970004336019,2.10380372095596,1,0,3,0,0,1,0.301029995663981,0
"4674","Paruromys dominator",167547,"Muridae","Rodentia",325.31,1,"Yes",-1.898595,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.442877229521,-1.67147600239393,"Wild","","Euarchontoglires","dominator","Paruromys",8,67,6,8,0,34,5,0.147,3,0,0.778151250383644,2.51229741366017,1,1,3,0,0,0,0,0
"4675","Pattonomys flavidus",7654526,"Echimyidae","Rodentia",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","flavidus","Pattonomys",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4676","Pattonomys occasius",3609823,"Echimyidae","Rodentia",322.29,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","occasius","Pattonomys",1,8,1,0,1,3,1,0.333,0,1,0.301029995663981,NA,NA,0,3,0,0,0,0,0
"4677","Pattonomys punctatus",7067169,"Echimyidae","Rodentia",NA,NA,"Yes",6.55,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66,7.00107163467525,"Wild","","Euarchontoglires","punctatus","Pattonomys",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"4678","Pattonomys semivillosus",1002066,"Echimyidae","Rodentia",200,1,"Yes",9.4,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.3319665386773,10.3390395673101,"Wild","","Euarchontoglires","semivillosus","Pattonomys",1,4,1,1,0,23,1,0.043,0,0,0.301029995663981,NA,1,0,3,0,0,0,0,0
"4679","Paucidentomys vermidax",5852651,"Muridae","Rodentia",NA,NA,"Yes",-3.40755,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,-3,"Wild","","Euarchontoglires","vermidax","Paucidentomys",2,27,2,2,0,7,2,0.286,2,1,0.477121254719662,NA,NA,0,3,196,2.29446622616159,0,0,1
"4680","Paulamys naso",3610566,"Muridae","Rodentia",122,1,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","naso","Paulamys",1,6,1,1,0,6,1,0.167,0,0,0.301029995663981,2.08635983067475,3,0,3,266,2.42651126136458,0,0,1
"4681","Pearsonomys annectens",36152,"Cricetidae","Rodentia",38.74,1,"Yes",-39.4314392856697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73,-39,"Wild","","Euarchontoglires","annectens","Pearsonomys",2,20,2,2,0,15,2,0.133,1,0,0.477121254719662,1.58815961638309,NA,0,3,0,0,0,0,0
