"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin","sum_gtrends","log_sumgtrends","h_conserv","logh1_conserv","gtrends_bin"
"36","Acomys muzei",378250,"Muridae","Rodentia",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","muzei","Acomys",1,12,1,1,0,10,1,0.1,1,0,0.301029995663981,NA,1,0,3,0,0,0,0,0
"37","Acomys nesiotes",747230,"Muridae","Rodentia",28.67,2,"Yes",34.860556,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,35,"Wild","","Euarchontoglires","nesiotes","Acomys",5,33,4,5,0,22,3,0.136,1,1,0.602059991327962,1.45742769294648,NA,0,3,0,0,0,0,0
"38","Acomys ngurui",378247,"Muridae","Rodentia",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","ngurui","Acomys",2,14,1,1,0,10,2,0.2,1,0,0.477121254719662,NA,1,0,3,0,0,0,0,0
"39","Acomys percivali",747234,"Muridae","Rodentia",22,1,"Yes",0.6667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,0.200040221629682,"Wild","","Euarchontoglires","percivali","Acomys",6,65,6,6,0,49,4,0.082,4,1,0.698970004336019,1.34242268082221,1,0,3,166,2.22271647114758,0,0,1
"40","Acomys selousi",6144822,"Muridae","Rodentia",NA,NA,"Yes",-15.695388,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.336797147536,-23.6808839089493,"Wild","","Euarchontoglires","selousi","Acomys",1,15,1,1,0,56,1,0.018,1,0,0.301029995663981,NA,1,0,3,0,0,0,0,0
"41","Acomys seurati",3608607,"Muridae","Rodentia",28.81,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","seurati","Acomys",0,0,0,0,0,NA,0,0,0,0,0,1.45954325828041,1,0,3,0,0,0,0,0
"42","Acomys spinosissimus",477714,"Muridae","Rodentia",26.5,1,"Yes",-15.831196,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4731734436309,-15.3471794717339,"Wild","","Euarchontoglires","spinosissimus","Acomys",28,294,17,28,0,31,12,0.387,14,1,1.11394335230684,1.42324587393681,1,0,3,0,0,0,0,0
"43","Acomys subspinosus",863707,"Muridae","Rodentia",21,1,"Yes",-32.13,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5010695777309,-4.50682635751027,"Wild","","Euarchontoglires","subspinosus","Acomys",19,248,13,18,0,56,10,0.179,10,2,1.04139268515822,1.32221929473392,1,0,3,0,0,1,0.301029995663981,0
"44","Acomys whitei",7654677,"Muridae","Rodentia",NA,NA,"Yes",16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,17,"Wild","","Euarchontoglires","whitei","Acomys",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"45","Acomys wilsoni",600704,"Muridae","Rodentia",18.5,1,"Yes",-3.516667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4289961250439,-2.72373399632368,"Wild","","Euarchontoglires","wilsoni","Acomys",4,61,4,4,0,20,4,0.2,3,1,0.698970004336019,1.26717172840301,1,0,3,0,0,0,0,0
