"","species","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y"
"6599","Rhinolophus pearsonii","Rhinolophidae","Chiroptera",217409,11.55,1,"Yes",22.4,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",103.505110486151,21.5311880912192
"6600","Rhinolophus perditus","Rhinolophidae","Chiroptera",316933,NA,NA,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6601","Rhinolophus philippensis","Rhinolophidae","Chiroptera",7656397,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6602","Rhinolophus philippinensis","Rhinolophidae","Chiroptera",1052596,10.33,1,"Yes",9.18703,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",122.989187566871,11.9405519308276
"6603","Rhinolophus proconsulis","Rhinolophidae","Chiroptera",6146488,NA,NA,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6604","Rhinolophus pumilus","Rhinolophidae","Chiroptera",678438,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6605","Rhinolophus pusillus","Rhinolophidae","Chiroptera",678436,5.15,1,"Yes",21.846,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",103.994618372404,21.051770010041
"6606","Rhinolophus rex","Rhinolophidae","Chiroptera",217412,10.4,2,"Yes",29.4333335,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",105.000000000002,29.0048379862782
"6607","Rhinolophus rhodesiae","Rhinolophidae","Chiroptera",7067841,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6608","Rhinolophus robinsoni","Rhinolophidae","Chiroptera",505797,8.5,1,"Yes",6.68898,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",115,-9.00138234307658
"6609","Rhinolophus rouxii","Rhinolophidae","Chiroptera",1047994,12.25,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6610","Rhinolophus rufus","Rhinolophidae","Chiroptera",747752,30,1,"Yes",13.791665,"Near Threatened","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",122.193403126451,14.220024179257
"6611","Rhinolophus ruwenzorii","Rhinolophidae","Chiroptera",37375,10.62,0,"Yes",1.36832,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",29,2.00121958443327
"6612","Rhinolophus sakejiensis","Rhinolophidae","Chiroptera",3614110,22,1,"Yes",-11.283333,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",25,-11
"6613","Rhinolophus schnitzleri","Rhinolophidae","Chiroptera",6146489,NA,NA,"Yes",25.033333,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",103,25
"6614","Rhinolophus sedulus","Rhinolophidae","Chiroptera",190915,8.75,1,"Yes",3.25833,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",102.333876143668,3.66884015003933
"6615","Rhinolophus shameli","Rhinolophidae","Chiroptera",155030,9.61,1,"Yes",14.867,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",103.794652224785,11.8071648915522
"6616","Rhinolophus shortridgei","Rhinolophidae","Chiroptera",3614109,10.62,0,"Yes",21.366667,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",95,21
"6617","Rhinolophus siamensis","Rhinolophidae","Chiroptera",180047,10.62,0,"Yes",20.153,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",103.39695367037,20.2123579920492
"6618","Rhinolophus silvestris","Rhinolophidae","Chiroptera",3614102,10.4,2,"Yes",-3.90376,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",15,-3.00045740230187
"6619","Rhinolophus simulator","Rhinolophidae","Chiroptera",37373,8.1,1,"Yes",-15.319252,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",28.5925721912759,-24.611430290682
"6620","Rhinolophus sinicus","Rhinolophidae","Chiroptera",1047995,10.62,0,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6621","Rhinolophus smithersi","Rhinolophidae","Chiroptera",6146490,NA,NA,"Yes",-18.284721,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",29.0000000000001,-25.0040698859441
"6622","Rhinolophus stheno","Rhinolophidae","Chiroptera",327527,7.9,1,"Yes",10.0320925,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",101.331158212935,5.00687923771455
"6623","Rhinolophus subbadius","Rhinolophidae","Chiroptera",3614100,10.49,2,"Yes",21.66666,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",91.0000000000027,25.0040698859447
"6624","Rhinolophus subrufus","Rhinolophidae","Chiroptera",747754,10.4,2,"Yes",14.03275,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121.395400724328,15.4428611898054
"6625","Rhinolophus swinnyi","Rhinolophidae","Chiroptera",155028,7.13,1,"Yes",-15.319252,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",33.8018788502026,-13.415799077419
"6626","Rhinolophus tatar","Rhinolophidae","Chiroptera",6146491,NA,NA,"Yes",-2.63,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121,-2.00121958443328
"6627","Rhinolophus thailandensis","Rhinolophidae","Chiroptera",6146492,NA,NA,"Yes",18.583334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",99,19
"6628","Rhinolophus thomasi","Rhinolophidae","Chiroptera",657548,8.3,1,"Yes",21.846,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",103.666491241127,21.0167723597698
"6629","Rhinolophus trifoliatus","Rhinolophidae","Chiroptera",863506,14.53,1,"Yes",3.279165,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",101.664309993899,3.2341601133102
"6630","Rhinolophus truncatus","Rhinolophidae","Chiroptera",7656398,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6631","Rhinolophus virgo","Rhinolophidae","Chiroptera",624281,6,1,"Yes",12.03,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121.841837216142,13.3113076088184
"6632","Rhinolophus willardi","Rhinolophidae","Chiroptera",6146493,NA,NA,"Yes",-5.1025,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",29,-5
"6633","Rhinolophus xinanzhongguoensis","Rhinolophidae","Chiroptera",1097174,NA,NA,"Yes",28.227,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",98.9999999999974,25.0040698859434
"6634","Rhinolophus yunanensis","Rhinolophidae","Chiroptera",3614113,19.7,1,"Yes",12.1071965,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",92.9999999999999,12.0074234947157
"6635","Rhinolophus yunnanensis","Rhinolophidae","Chiroptera",880237,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6636","Rhinolophus ziama","Rhinolophidae","Chiroptera",3614104,10.62,0,"Yes",8.273952,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-10,9.0013823430766
"6637","Rhinonicteris aurantia","Hipposideridae","Chiroptera",798260,8.77,1,"Yes",-14.483333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",130.038300846182,-14.89700555317
"6638","Rhinophylla alethina","Phyllostomidae","Chiroptera",941570,13.57,2,"Yes",5.667778,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-77,4.00244214969978
"6639","Rhinophylla fischerae","Phyllostomidae","Chiroptera",546395,9.6,1,"Yes",-0.67224,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-74.4991983994971,-0.375329686181994
"6640","Rhinophylla pumilio","Phyllostomidae","Chiroptera",546394,9.55,1,"Yes",4.38,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-72.9282975402743,0.168797863049623
"6641","Rhinopithecus avunculus","Cercopithecidae","Primates",514757,9086.19,1,"Yes",22.15,"Critically Endangered","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",104.999999999999,22.0141110416856
"6642","Rhinopithecus bieti","Cercopithecidae","Primates",77080,11000.54,1,"Yes",27.734772,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",100,27.0044471007295
"6643","Rhinopithecus brelichi","Cercopithecidae","Primates",1068677,12267.15,1,"Yes",27.95,"Endangered","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",109,27
"6644","Rhinopithecus roxellana","Cercopithecidae","Primates",77083,13456.8,1,"Yes",30.4249995,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",107.508885123798,33.5191257388717
"6645","Rhinopithecus strykeri","Cercopithecidae","Primates",1072533,NA,NA,"Yes",NA,"Critically Endangered","food_human","medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6646","Rhinopoma cystops","Rhinopomatidae","Chiroptera",79793,NA,NA,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","infraspecific",NA,NA
"6647","Rhinopoma hadramauticum","Rhinopomatidae","Chiroptera",5835530,NA,NA,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6648","Rhinopoma hardwickii","Rhinopomatidae","Chiroptera",267981,13.1,1,NA,NA,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6649","Rhinopoma macinnesi","Rhinopomatidae","Chiroptera",3614019,14.94,0,"Yes",3.5,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",37,2.00121958443327
"6650","Rhinopoma microphyllum","Rhinopomatidae","Chiroptera",971918,27.87,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6651","Rhinopoma muscatellum","Rhinopomatidae","Chiroptera",971915,9.14,1,"Yes",30.8105495,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",56.4938066084721,25.5378136454515
"6652","Rhinosciurus laticaudatus","Sciuridae","Rodentia",149980,228.25,1,"Yes",3.17,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",102,3.00045740230187
"6653","Rhipidomys albujai","Cricetidae","Rodentia",7067304,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6654","Rhipidomys austrinus","Cricetidae","Rodentia",3608277,89,1,"Yes",-21.437056,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-63.6638364112055,-19.6782725515747
"6655","Rhipidomys cariri","Cricetidae","Rodentia",55027,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6656","Rhipidomys caucensis","Cricetidae","Rodentia",3608276,89,1,"Yes",5.1352805,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-76.3341493783027,5.66996720456175
"6657","Rhipidomys couesi","Cricetidae","Rodentia",3608275,89,1,"Yes",-16.083333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-65.3189073656155,-18.3560844053671
"6658","Rhipidomys emiliae","Cricetidae","Rodentia",55015,79.72,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6659","Rhipidomys fulviventer","Cricetidae","Rodentia",3608268,89,1,"Yes",6.416667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-73.6658506216974,5.66996720456175
"6660","Rhipidomys gardneri","Cricetidae","Rodentia",55013,79.72,0,"Yes",-12.6,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-68.9999999999995,-13.0020149689628
"6661","Rhipidomys ipukensis","Cricetidae","Rodentia",269483,NA,NA,"Yes",-11.842778,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-49,-11
"6662","Rhipidomys itoan","Cricetidae","Rodentia",269482,NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6663","Rhipidomys latimanus","Cricetidae","Rodentia",7067305,57.5,1,"Yes",5.89503,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-75.6649034401678,4.34039158198281
"6664","Rhipidomys leucodactylus","Cricetidae","Rodentia",310842,80,1,"Yes",-9.633333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-71,-13.0020149689629
"6665","Rhipidomys macconnelli","Cricetidae","Rodentia",770862,41.6,1,"Yes",5.27,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-61,5.00076357997974
"6666","Rhipidomys macrurus","Cricetidae","Rodentia",628035,79.72,0,"Yes",-12.801667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-55.0000000000002,-24.0155502468951
"6667","Rhipidomys mastacalis","Cricetidae","Rodentia",225515,77.5,1,"Yes",-14.833333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-44.9929460291088,-22.0141110416858
"6668","Rhipidomys masticalis","Cricetidae","Rodentia",7067306,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6669","Rhipidomys modicus","Cricetidae","Rodentia",3608273,79.72,0,"Yes",-8.55,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-75.0000000000005,-11.0016965084064
"6670","Rhipidomys nitela","Cricetidae","Rodentia",225511,89,1,"Yes",3.75,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-57.0027190453581,4.55963820127777
"6671","Rhipidomys ochrogaster","Cricetidae","Rodentia",3608271,89,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6672","Rhipidomys qundianus","Cricetidae","Rodentia",7654657,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6673","Rhipidomys scandens","Cricetidae","Rodentia",873080,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6674","Rhipidomys tribei","Cricetidae","Rodentia",843933,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6675","Rhipidomys venezuelae","Cricetidae","Rodentia",3608272,90,1,"Yes",8.658333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-69.9969215563233,10.0061581575147
"6676","Rhipidomys venustus","Cricetidae","Rodentia",7067308,89,1,"Yes",1.95,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-77.0000000000001,-6.00367070585999
"6677","Rhipidomys wetzeli","Cricetidae","Rodentia",770858,89,1,"Yes",5.27,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-65.0000000000001,2.00121958443327
"6678","Rhizomys pruinosus","Spalacidae","Rodentia",964579,2450,1,NA,NA,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6679","Rhizomys sinensis","Spalacidae","Rodentia",45212,865,1,"Yes",29.083334,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated","",102.999999999999,30.0201656123621
"6680","Rhizomys sumatrensis","Spalacidae","Rodentia",3608574,1625,1,"Yes",15.33333,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated","",102.999999999998,21.0194557775522
"6681","Rhogeessa aeneus","Vespertilionidae","Chiroptera",108227,4.22,0,"Yes",20.016444,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-89.566924973954,19.3138868984128
"6683","Rhogeessa bickhami","Vespertilionidae","Chiroptera",6146543,NA,NA,"Yes",13.66667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-88.9999999999994,14.0087077749103
"6684","Rhogeessa genowaysi","Vespertilionidae","Chiroptera",267463,4.64,2,"Yes",15.382778,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-93.0000000000015,16.0100146374086
"6685","Rhogeessa gracilis","Vespertilionidae","Chiroptera",267465,4.88,2,"Yes",18.379444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-97.8081595290975,18.2110375394907
"6686","Rhogeessa hussoni","Vespertilionidae","Chiroptera",3613894,4.22,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6687","Rhogeessa io","Vespertilionidae","Chiroptera",473223,4.22,0,"Yes",5.6397825,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-73.7682673476752,5.62474854000876
"6688","Rhogeessa menchuae","Vespertilionidae","Chiroptera",6146544,NA,NA,"Yes",15.735504,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-87,15
"6689","Rhogeessa minutilla","Vespertilionidae","Chiroptera",3613895,3.75,1,"Yes",9.88,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-69.6680334613226,10.33903956731
"6690","Rhogeessa mira","Vespertilionidae","Chiroptera",687550,4.91,2,"Yes",18.6333335,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-101.999999999999,19.0030052338492
"6691","Rhogeessa parvula","Vespertilionidae","Chiroptera",76914,4.37,1,"Yes",20.5526385,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-99.4127701480495,20.6903660584815
"6692","Rhogeessa tumida","Vespertilionidae","Chiroptera",76917,4.58,1,"Yes",17.48333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-90.7877958068398,16.8494392728057
"6693","Rhogeessa velilla","Vespertilionidae","Chiroptera",842009,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6694","Rhombomys giganteus","Muridae","Rodentia",7654698,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6695","Rhombomys opimus","Muridae","Rodentia",504792,144,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6696","Rhynchocyon adersi","Macroscelididae","Macroscelidea",7654236,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6697","Rhynchocyon chrysopygus","Macroscelididae","Macroscelidea",340418,540,1,"Yes",-3.2637,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",39,-3.50188980518723
"6698","Rhynchocyon cirnei","Macroscelididae","Macroscelidea",627114,490,1,NA,NA,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6699","Rhynchocyon claudi","Macroscelididae","Macroscelidea",7654237,NA,NA,"Yes",3.4167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",25,3
"6700","Rhynchocyon hendersoni","Macroscelididae","Macroscelidea",7654238,NA,NA,"Yes",-10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",35,-11
"6701","Rhynchocyon macrurus","Macroscelididae","Macroscelidea",7654239,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6702","Rhynchocyon petersi","Macroscelididae","Macroscelidea",940522,424,1,NA,NA,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6703","Rhynchocyon stuhlmanni","Macroscelididae","Macroscelidea",7654240,NA,NA,"Yes",1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",29,1
"6704","Rhynchocyon swynnertoni","Macroscelididae","Macroscelidea",7654241,NA,NA,"Yes",-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",37,-7
"6705","Rhynchocyon udzungwensis","Macroscelididae","Macroscelidea",3607339,NA,NA,"Yes",-7.63855,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",37,-7
"6706","Rhynchogale caniceps","Herpestidae","Carnivora",7656179,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6707","Rhynchogale melleri","Herpestidae","Carnivora",901607,2500,1,"Yes",-14.085993,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",31.0000000000001,-14.0087077749104
"6708","Rhyncholestes raphanurus","Caenolestidae","Paucituberculata",44551,21,1,"Yes",-41.066666,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-72.0000000000009,-41.0075873575492
"6709","Rhynchomeles prattorum","Peramelidae","Peramelemorphia",1085791,817.52,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"6710","Rhynchomys banahao","Muridae","Rodentia",566956,NA,NA,"Yes",14.07706,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121,15
"6711","Rhynchomys isarogensis","Muridae","Rodentia",359219,122.5,1,"Yes",13.67,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",123,13
"6712","Rhynchomys soricoides","Muridae","Rodentia",121872,187,1,"Yes",17.022131,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",120.999999999999,18.0113479632782
"6713","Rhynchomys tapulao","Muridae","Rodentia",566971,NA,NA,"Yes",15.48189,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121,15
