"","species","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y"
"58","Acrobates pygmaeus","Acrobatidae","Diprotodontia",432839,12,1,"Yes",-33.348,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",147.696154573057,-31.907558743051
"59","Adaetontherium incognitum","Suidae","Artiodactyla",7655718,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"60","Addax nasomaculatus","Bovidae","Artiodactyla",989805,70000.32,1,"Yes",29.868026,"Critically Endangered","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",19,16.0100146374084
"61","Aegialomys galapagoensis","Cricetidae","Rodentia",509361,NA,NA,"Yes",-0.816667,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-91,-1
"62","Aegialomys xanthaeolus","Cricetidae","Rodentia",282364,NA,NA,"Yes",-6.833333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-78.6566977490875,-6.37717362330414
"63","Aelurodon francisci","Canidae","Carnivora",7655927,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"64","Aeorestes egregius","Vespertilionidae","Chiroptera",297963,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"65","Aeorestes semotus","Vespertilionidae","Chiroptera",5839506,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"66","Aeorestes villosissimus","Vespertilionidae","Chiroptera",5839507,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"67","Aepeomys lugens","Cricetidae","Rodentia",783823,37,1,"Yes",8.62,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-71,9
"68","Aepeomys reigi","Cricetidae","Rodentia",3608226,37,0,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"69","Aepyceros melampus","Bovidae","Artiodactyla",768679,52500.08,1,NA,NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"70","Aepyprymnus rufescens","Potoroidae","Diprotodontia",34417,3250,1,"Yes",-28.7167,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",148.607502862424,-25.8939807544789
"71","Aeretes melanopterus","Sciuridae","Rodentia",675191,753.23,2,"Yes",26.430682,"Near Threatened","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",106.999999999999,23.0037047626266
