"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"44","Acomys_whitei","whitei","Acomys",0,0,0,0,0,NA,0,0,0,0
"45","Acomys_wilsoni","wilsoni","Acomys",4,61,4,4,0,20,4,0.2,3,1
"46","Aconaemys_fuscus","fuscus","Aconaemys",3,29,3,3,0,20,3,0.15,1,0
"47","Aconaemys_porteri","porteri","Aconaemys",2,4,2,2,0,19,1,0.053,0,1
"48","Aconaemys_sagei","sagei","Aconaemys",1,3,1,1,0,19,1,0.053,0,0
"49","Acrobates_pulchellus","pulchellus","Acrobates",0,0,0,0,0,NA,0,0,0,0
"50","Acrobates_pygmaeus","pygmaeus","Acrobates",50,1327,24,48,1,43,24,0.558,35,2
"51","Adaetontherium_incognitum","incognitum","Adaetontherium",0,0,0,0,0,NA,0,0,0,0
"52","Addax_nasomaculatus","nasomaculatus","Addax",56,470,39,55,0,44,12,0.273,15,4
"53","Aegialomys_galapagoensis","galapagoensis","Aegialomys",4,17,4,4,0,10,2,0.2,1,1
"54","Aegialomys_xanthaeolus","xanthaeolus","Aegialomys",4,70,4,4,0,15,3,0.2,3,2
"55","Aegyptopithecus_zeuxis","zeuxis","Aegyptopithecus",22,874,11,20,2,46,17,0.37,20,0
"56","Aelurocyon_spissidens","spissidens","Aelurocyon",0,0,0,0,0,NA,0,0,0,0
"57","Aelurodon_asthenostylus","asthenostylus","Aelurodon",0,0,0,0,0,NA,0,0,0,0
"58","Aelurodon_brachygnathus","brachygnathus","Aelurodon",0,0,0,0,0,NA,0,0,0,0
"59","Aelurodon_compressus","compressus","Aelurodon",0,0,0,0,0,NA,0,0,0,0
"60","Aelurodon_ferox","ferox","Aelurodon",1,48,1,1,0,18,1,0.056,1,0
"61","Aelurodon_francisci","francisci","Aelurodon",0,0,0,0,0,NA,0,0,0,0
"62","Aelurodon_mcgrewi","mcgrewi","Aelurodon",1,3,1,1,0,17,1,0.059,0,0
"63","Aelurodon_taxoides","taxoides","Aelurodon",0,0,0,0,0,NA,0,0,0,0
"64","Aeolopithecus_chirobates","chirobates","Aeolopithecus",3,196,3,3,0,41,3,0.073,3,0
"65","Aeorestes_egregius","egregius","Aeorestes",3,13,3,3,0,9,2,0.222,0,1
"66","Aeorestes_semotus","semotus","Aeorestes",1,13,1,1,0,4,1,0.25,1,1
"67","Aeorestes_villosissimus","villosissimus","Aeorestes",0,0,0,0,0,NA,0,0,0,0
"68","Aepeomys_lugens","lugens","Aepeomys",1,3,1,1,0,20,1,0.05,0,0
"69","Aepeomys_reigi","reigi","Aepeomys",1,19,1,1,0,6,1,0.167,1,0
"70","Aepyprymnus_rufescens","rufescens","Aepyprymnus",40,1226,28,38,1,46,15,0.326,25,3
"71","Aeretes_melanopterus","melanopterus","Aeretes",1,6,1,1,0,14,1,0.071,0,0
"72","Aeromys_tephromelas","tephromelas","Aeromys",1,3,1,1,0,50,1,0.02,0,0
"73","Aeromys_thomasi","thomasi","Aeromys",1,6,1,1,0,15,1,0.067,0,0
"74","Aethalops_aequalis","aequalis","Aethalops",1,10,1,1,0,28,1,0.036,1,0
"75","Aethalops_alecto","alecto","Aethalops",4,63,3,4,0,32,3,0.094,3,0
"76","Aethomys_bocagei","bocagei","Aethomys",1,7,1,1,0,16,1,0.062,0,0
"77","Aethomys_chrysophilus","chrysophilus","Aethomys",40,567,22,38,1,43,15,0.349,25,2
"78","Aethomys_hindei","hindei","Aethomys",4,31,4,4,0,45,3,0.067,1,1
"79","Aethomys_ineptus","ineptus","Aethomys",16,248,9,15,1,23,10,0.435,10,2
"80","Aethomys_kaiseri","kaiseri","Aethomys",9,158,8,9,0,59,7,0.119,6,0
