"","genus_species","species","genus","publications","citations","journals","years_publishing","h","m","i10","h5","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y","clade","logh","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin"
"39","Acomys louisae","louisae","Acomys",1,1,1,1,1,1,0,1,"Muridae","Rodentia",3608604,20.2,1,"Yes",31.848948,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,37,31,"Euarchontoglires",0,0.301029995663981,1.30535136944662,1,0,3
"40","Acomys minous","minous","Acomys",7,92,6,58,5,0.086,3,1,"Muridae","Rodentia",747232,62.5,1,"Yes",35.3534105,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,25,35,"Euarchontoglires",0.698970004336019,0.778151250383644,1.79588001734408,NA,0,3
"41","Acomys mullah","mullah","Acomys",0,0,0,NA,0,0,0,0,"Muridae","Rodentia",3608602,28.74,2,"Yes",7.833334,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,41.0000000000001,7.00107163467529,"Euarchontoglires",-Inf,0,1.45848676379821,1,0,3
"42","Acomys muzei","muzei","Acomys",1,12,1,10,1,0.1,1,0,"Muridae","Rodentia",378250,NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0,0.301029995663981,NA,1,0,3
"43","Acomys nesiotes","nesiotes","Acomys",5,33,4,22,3,0.136,1,1,"Muridae","Rodentia",747230,28.67,2,"Yes",34.860556,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,33,35,"Euarchontoglires",0.477121254719662,0.602059991327962,1.45742769294648,NA,0,3
"44","Acomys ngurui","ngurui","Acomys",2,14,1,10,2,0.2,1,0,"Muridae","Rodentia",378247,NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.301029995663981,0.477121254719662,NA,1,0,3
"45","Acomys percivali","percivali","Acomys",6,66,6,49,4,0.082,4,1,"Muridae","Rodentia",747234,22,1,"Yes",0.6667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,37.4,0.200040221629682,"Euarchontoglires",0.602059991327962,0.698970004336019,1.34242268082221,1,0,3
"46","Acomys russatus","russatus","Acomys",98,2174,51,52,26,0.5,61,4,"Muridae","Rodentia",996662,49.75,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",1.41497334797082,1.43136376415899,1.69679308508174,1,0,3
"47","Acomys selousi","selousi","Acomys",1,15,1,56,1,0.018,1,0,"Muridae","Rodentia",6144822,NA,NA,"Yes",-15.695388,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,30.336797147536,-23.6808839089493,"Euarchontoglires",0,0.301029995663981,NA,1,0,3
"48","Acomys seurati","seurati","Acomys",0,0,0,NA,0,0,0,0,"Muridae","Rodentia",3608607,28.81,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,1.45954325828041,1,0,3
"49","Acomys spinosissimus","spinosissimus","Acomys",29,300,17,31,12,0.387,15,1,"Muridae","Rodentia",477714,26.5,1,"Yes",-15.831196,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,33.4731734436309,-15.3471794717339,"Euarchontoglires",1.07918124604762,1.11394335230684,1.42324587393681,1,0,3
"50","Acomys subspinosus","subspinosus","Acomys",19,251,13,56,10,0.179,10,2,"Muridae","Rodentia",863707,21,1,"Yes",-32.13,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,38.5010695777309,-4.50682635751027,"Euarchontoglires",1,1.04139268515822,1.32221929473392,1,0,3
"51","Acomys whitei","whitei","Acomys",0,0,0,NA,0,0,0,0,"Muridae","Rodentia",7654677,NA,NA,"Yes",16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,53,17,"Euarchontoglires",-Inf,0,NA,NA,0,3
"52","Acomys wilsoni","wilsoni","Acomys",4,66,4,20,4,0.2,4,1,"Muridae","Rodentia",600704,18.5,1,"Yes",-3.516667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,37.4289961250439,-2.72373399632368,"Euarchontoglires",0.602059991327962,0.698970004336019,1.26717172840301,1,0,3
"53","Aconaemys fuscus","fuscus","Aconaemys",3,29,3,20,3,0.15,1,0,"Octodontidae","Rodentia",620800,133.5,1,"Yes",-40.294145,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-71.9858461207621,-39.0495575070798,"Euarchontoglires",0.477121254719662,0.602059991327962,2.12548126570059,1,0,3
"54","Aconaemys porteri","porteri","Aconaemys",2,4,2,19,1,0.053,0,1,"Octodontidae","Rodentia",867368,113.5,0,"Yes",-40.82,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-71.6601228802953,-39.6935721943811,"Euarchontoglires",0,0.301029995663981,2.05499586152914,NA,0,3
"55","Aconaemys sagei","sagei","Aconaemys",1,3,1,19,1,0.053,0,0,"Octodontidae","Rodentia",867373,96.5,1,"Yes",-38.016666,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-72.3272977322962,-38.3583278219829,"Euarchontoglires",0,0.301029995663981,1.98452731334379,NA,0,3
"56","Acrobates pulchellus","pulchellus","Acrobates",0,0,0,NA,0,0,0,0,"Acrobatidae","Diprotodontia",7657182,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Marsupials & monotremes",-Inf,0,NA,NA,0,3
"57","Acrobates pygmaeus","pygmaeus","Acrobates",50,1337,24,43,24,0.558,35,2,"Acrobatidae","Diprotodontia",432839,12,1,"Yes",-33.348,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,147.696154573057,-31.907558743051,"Marsupials & monotremes",1.38021124171161,1.39794000867204,1.07918124604762,1,0,3
"58","Adaetontherium incognitum","incognitum","Adaetontherium",0,0,0,NA,0,0,0,0,"Suidae","Artiodactyla",7655718,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,NA,NA,0,3
"59","Addax nasomaculatus","nasomaculatus","Addax",59,486,41,44,12,0.273,15,4,"Bovidae","Artiodactyla",989805,70000.32,1,"Yes",29.868026,"Critically Endangered","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,19,16.0100146374084,"Laurasiatheria",1.07918124604762,1.11394335230684,4.84510002535592,4,1,3
"60","Aegialomys galapagoensis","galapagoensis","Aegialomys",4,20,4,10,2,0.2,1,2,"Cricetidae","Rodentia",509361,NA,NA,"Yes",-0.816667,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-91,-1,"Euarchontoglires",0.301029995663981,0.477121254719662,NA,2,0,3
"61","Aegialomys xanthaeolus","xanthaeolus","Aegialomys",4,73,4,15,3,0.2,3,2,"Cricetidae","Rodentia",282364,NA,NA,"Yes",-6.833333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-78.6566977490875,-6.37717362330414,"Euarchontoglires",0.477121254719662,0.602059991327962,NA,1,0,3
"62","Aelurodon francisci","francisci","Aelurodon",0,0,0,NA,0,0,0,0,"Canidae","Carnivora",7655927,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,NA,NA,0,3
"63","Aeorestes egregius","egregius","Aeorestes",3,14,3,9,2,0.222,0,1,"Vespertilionidae","Chiroptera",297963,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",0.301029995663981,0.477121254719662,NA,NA,0,3
"64","Aeorestes semotus","semotus","Aeorestes",1,15,1,4,1,0.25,1,1,"Vespertilionidae","Chiroptera",5839506,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",0,0.301029995663981,NA,NA,0,3
"65","Aeorestes villosissimus","villosissimus","Aeorestes",0,0,0,NA,0,0,0,0,"Vespertilionidae","Chiroptera",5839507,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,NA,NA,0,3
"66","Aepeomys lugens","lugens","Aepeomys",1,3,1,20,1,0.05,0,0,"Cricetidae","Rodentia",783823,37,1,"Yes",8.62,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-71,9,"Euarchontoglires",0,0.301029995663981,1.56820172406699,1,0,3
"67","Aepeomys reigi","reigi","Aepeomys",1,20,1,6,1,0.167,1,0,"Cricetidae","Rodentia",3608226,37,0,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0,0.301029995663981,1.56820172406699,2,0,3
