"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"342","Balaena mysticetus","Balaenidae",1e+08,1
"343","Balaenoptera acutorostrata","Balaenopteridae",1e+07,1
"344","Balaenoptera bonaerensis","Balaenopteridae",35089915.83,0
"345","Balaenoptera borealis","Balaenopteridae",2e+07,1
"346","Balaenoptera edeni","Balaenopteridae",2e+07,1
"347","Balaenoptera musculus","Balaenopteridae",1.9e+08,1
"348","Balaenoptera physalus","Balaenopteridae",7e+07,1
"349","Balantiopteryx infusca","Emballonuridae",4.38,1
"350","Balantiopteryx io","Emballonuridae",4.3,1
"351","Balantiopteryx plicata","Emballonuridae",6.39,1
"352","Balionycteris maculata","Pteropodidae",13.36,1
"353","Bandicota bengalensis","Muridae",188.5,1
"354","Bandicota indica","Muridae",719.96,1
"355","Bandicota savilei","Muridae",199,1
"356","Barbastella barbastellus","Vespertilionidae",8.03,1
"357","Barbastella leucomelas","Vespertilionidae",15.05,1
"358","Bassaricyon alleni","Procyonidae",1235.01,1
"359","Bassaricyon beddardi","Procyonidae",1235.01,1
"360","Bassaricyon gabbii","Procyonidae",1250,1
"361","Bassaricyon lasius","Procyonidae",1200,1
"362","Bassaricyon pauli","Procyonidae",1200,1
"363","Bassariscus astutus","Procyonidae",1129.51,1
"364","Bassariscus sumichrasti","Procyonidae",899.99,1
"365","Bathyergus janetta","Bathyergidae",332,1
"366","Bathyergus suillus","Bathyergidae",625,1
"367","Batomys dentatus","Muridae",196,1
"368","Batomys granti","Muridae",177.8,1
"369","Batomys russatus","Muridae",186.79,0
"370","Batomys salomonseni","Muridae",187,1
"371","Bauerus dubiaquercus","Vespertilionidae",22.22,1
"372","Bdeogale crassicauda","Herpestidae",1549.99,1
"373","Bdeogale jacksoni","Herpestidae",2500,1
"374","Bdeogale nigripes","Herpestidae",2500,1
"375","Beamys hindei","Nesomyidae",75.8,1
"376","Beamys major","Nesomyidae",75.8,0
"377","Beatragus hunteri","Bovidae",79132.17,1
"378","Belomys pearsonii","Sciuridae",217,1
"379","Berardius arnuxii","Ziphiidae",7e+06,1
"380","Berardius bairdii","Ziphiidae",11380000,1
"381","Berylmys berdmorei","Muridae",235,1
"382","Berylmys bowersi","Muridae",300,1
"383","Berylmys mackenziei","Muridae",256,1
"384","Berylmys manipulus","Muridae",116,1
"385","Bettongia gaimardi","Potoroidae",1660,1
"386","Bettongia lesueur","Potoroidae",1500,1
"387","Bettongia penicillata","Potoroidae",1300,1
"388","Bettongia tropica","Potoroidae",1256.58,1
"389","Bibimys chacoensis","Cricetidae",28,1
"390","Bibimys labiosus","Cricetidae",29,1
"391","Bibimys torresi","Cricetidae",28,1
"392","Bison bison","Bovidae",579255.28,1
"393","Bison bonasus","Bovidae",5e+05,1
"394","Biswamoyopterus biswasi","Sciuridae",1613.3,1
"395","Blanfordimys afghanus","Cricetidae",56.99,2
"396","Blanfordimys bucharensis","Cricetidae",57.08,2
"397","Blarina brevicauda","Soricidae",28,1
"398","Blarina carolinensis","Soricidae",13.5,1
"399","Blarina hylophaga","Soricidae",14.5,1
"400","Blarina peninsulae","Soricidae",17.63,0
"401","Blarinella griselda","Soricidae",12.5,0
"402","Blarinella quadraticauda","Soricidae",12.5,1
"403","Blarinella wardi","Soricidae",11.26,2
"404","Blarinomys breviceps","Cricetidae",36.8,1
"405","Blastocerus dichotomus","Cervidae",86666.25,1
"406","Boromys offella","Echimyidae",272.28,0
"407","Boromys torrei","Echimyidae",272.28,0
"408","Boselaphus tragocamelus","Bovidae",169000,1
"409","Bos frontalis","Bovidae",8e+05,1
"410","Bos grunniens","Bovidae",416500,1
"411","Bos javanicus","Bovidae",625000,1
"412","Bos sauveli","Bovidae",8e+05,1
"413","Bos taurus","Bovidae",9e+05,1
"414","Brachiones przewalskii","Muridae",61.11,2
"415","Brachylagus idahoensis","Leporidae",421.34,1
"416","Brachyphylla cavernarum","Phyllostomidae",46.17,1
"417","Brachyphylla nana","Phyllostomidae",35.83,1
"418","Brachytarsomys albicauda","Nesomyidae",200,1
"419","Brachytarsomys villosa","Nesomyidae",220,1
