species,median_lat,order
Callospermophilus madrensis,26.405403,Rodentia
Callospermophilus saturatus,46.917666,Rodentia
Calomys boliviae,-26.3213955,Rodentia
Calomys callidus,-31.884252,Rodentia
Calomys callosus,-13.066667,Rodentia
Calomys expulsus,-15.783334,Rodentia
Calomys hummelincki,9.32,Rodentia
Calomys laucha,-33.483333,Rodentia
Calomys musculinus,-33.483333,Rodentia
Calomys sorellus,-12.766666,Rodentia
Calomys tener,-20.4,Rodentia
Calomyscus bailwardi,30.6667,Rodentia
Calomyscus baluchi,34.8311,Rodentia
Calomyscus hotsoni,26.966667,Rodentia
Calomyscus mystax,35.900002,Rodentia
Calomyscus urartensis,39.292301,Rodentia
Caloprymnus campestris,-28.35,Diprotodontia
Caluromys derbianus,11.823486781664574,Didelphimorphia
Caluromys lanatus,-1.0783,Didelphimorphia
Caluromys laniger,4.1584,Didelphimorphia
Caluromys philander,-2.335,Didelphimorphia
Caluromysiops irrupta,-12.341667000000001,Didelphimorphia
Calyptophractus retusus,-17.788931,Cingulata
Camelus bactrianus,43.513238,Artiodactyla
Camelus dromedarius,-25.09425,Artiodactyla
Canis adustus,10.320211,Carnivora
Canis anthus,15.8511635,Carnivora
Canis armbrusteri,28.76,Carnivora
Canis aureus,32.611684,Carnivora
Canis brachypus,42.049999,Carnivora
Canis cedazoensis,21.7874995,Carnivora
Canis davisi,43.599998,Carnivora
Canis dingo,-24.088141896999026,Carnivora
Canis dirus,27.63,Carnivora
Canis edwardii,29.01,Carnivora
Canis ferox,37.200001,Carnivora
Canis gregarius,42.85,Carnivora
Canis haydeni,29.68,Carnivora
Canis latrans,36.952737,Carnivora
Canis lemur,29.7749995,Carnivora
Canis lepophagus,37.200001,Carnivora
Canis saevus,29.55,Carnivora
Canis simensis,6.908793,Carnivora
Canis temerarius,36.5,Carnivora
Canis ursinus,40.3500005,Carnivora
Canis vafer,42.700001,Carnivora
Cannomys badius,21.762932499999998,Rodentia
Cansumys canus,34.589722,Rodentia
Caperea marginata,-38.35,Cetacea
Capra caucasica,42.65819,Artiodactyla
Capra nubiana,29.992544,Artiodactyla
Capra walie,13.25,Artiodactyla
Capricornis crispus,37.541666,Artiodactyla
Capricornis rubidus,24.083439,Artiodactyla
Capricornis sumatraensis,27.549999,Artiodactyla
Capricornis swinhoei,23.88581,Artiodactyla
Caprolagus hispidus,27.0547115,Lagomorpha
Capromys pilorides,22.034512,Rodentia
Caracal caracal,30.17927,Carnivora
Cardiocranius paradoxus,43.62437,Rodentia
Cardioderma cor,-3.303056,Chiroptera
Carlito syrichta,7.072210999999999,Primates
Carollia benkeithi,-12.6,Chiroptera
Carollia brevicauda,7.252972,Chiroptera
Carollia castanea,5.667778,Chiroptera
Carollia manu,-13.054669,Chiroptera
Carollia monohernandezi,6.222528,Chiroptera
Carollia perspicillata,5.19845,Chiroptera
Carollia sowelli,17.32085,Chiroptera
Carollia subrufa,16.23467641331015,Chiroptera
Carpitalpa arendsi,-18.07,Afrosoricida
Carpocyon webbi,42.700001,Carnivora
Carpomys melanurus,20.368828,Rodentia
Carpomys phaeurus,17.1308505,Rodentia
Carterodon sulcidens,-19.634701,Rodentia
Casinycteris argynnis,1.35,Chiroptera
Casinycteris campomaanensis,2.397,Chiroptera
Castor canadensis,42.642949,Rodentia
Catagonus wagneri,-21.896099999999997,Artiodactyla
Catopithecus browni,29.5,Primates
Catopuma badia,5.054994499999999,Carnivora
Catopuma temminckii,16.616671,Carnivora
Cavia fulgida,-23.183695787766766,Rodentia
Cavia porcellus,10.2,Rodentia
Cebus aequatorialis,-0.0526275,Primates
Cebus brunneus,10.4360055,Primates
Cebus cuscinus,-0.936561,Primates
Cebus fatuellus,-10.029073,Primates
Cebus imitator,9.4,Primates
Cebus kaapori,-3.61434,Primates
Cebus malitiosus,11.310031,Primates
Cebus unicolor,-9.3,Primates
Cebus versicolor,7.001096,Primates
Cebus yuracus,0.47677,Primates
Centronycteris centralis,10.4314,Chiroptera
Centronycteris maximiliani,4.81,Chiroptera
Cephalophus adersi,-3.6167,Artiodactyla
Cephalophus brookei,7.9,Artiodactyla
Cephalophus callipygus,1.25,Artiodactyla
Cephalophus dorsalis,5.3129665,Artiodactyla
Cephalophus jentinki,5.370203500000001,Artiodactyla
Cephalophus leucogaster,3.8,Artiodactyla
Cephalophus lugens,-8,Artiodactyla
Cephalophus natalensis,-28.227615,Artiodactyla
Cephalophus niger,6.22,Artiodactyla
Cephalophus nigrifrons,-5.375,Artiodactyla
Cephalophus ogilbyi,5.352141,Artiodactyla
Cephalophus rufilatus,11.068933,Artiodactyla
Cephalophus silvicultor,-4.629910000000001,Artiodactyla
Cephalophus spadix,-4.661564,Artiodactyla
Cephalophus weynsi,-0.3742,Artiodactyla
Cephalophus zebra,5.369684,Artiodactyla
Cephalorhynchus commersonii,-53.169998,Cetacea
Cephalorhynchus eutropia,-42.620758,Cetacea
Cephalorhynchus heavisidii,-22.876612,Cetacea
Cephalotropis coronatus,38.4883325,Cetacea
Ceratotherium neumayri,38.023,Perissodactyla
Cercartetus concinnus,-34.45167,Diprotodontia
Cercartetus lepidus,-35.8975,Diprotodontia
Cercartetus nanus,-34.090267,Diprotodontia
Cercocebus agilis,1.401109,Primates
Cercocebus chrysogaster,-4.73565,Primates
Cercocebus galeritus,-1.8772319999999998,Primates
Cercocebus sanjei,-7.743651,Primates
Cercopithecus buettikoferi,7.1667,Primates
Cercopithecus denti,1.2833,Primates
Cercopithecus diana,5.5033674999999995,Primates
Cercopithecus dryas,-2.06203,Primates
Cercopithecus grayi,6,Primates
Cercopithecus leucampyx,-10,Primates
Cercopithecus lomamiensis,-1.0440399999999999,Primates
Cercopithecus lowei,6.08,Primates
Cercopithecus neglectus,1.008329,Primates
Cercopithecus nigripes,-1.5833,Primates
Cercopithecus opisthostictus,-9,Primates
Cercopithecus roloway,6.067,Primates
Cercopithecus sclateri,6.3167,Primates
Cerdocyon thous,-16.503965,Carnivora
Cerradomys goytaca,-21.90205,Rodentia
Cerradomys langguthi,-6.8750015,Rodentia
Cerradomys maracajuensis,-13.066667,Rodentia
Cerradomys scotti,-15.783334,Rodentia
Cerradomys subflavus,-17.233333,Rodentia
Cerradomys vivoi,-14.83335,Rodentia
Cervus cashmirianus,40,Artiodactyla
Cervus elaphoides,49.05,Artiodactyla
Cervus thoroldi,31.6667,Artiodactyla
Cetotherium gastaldii,44.904583,Cetacea
Cetotherium moreni,-44.462770500000005,Artiodactyla
Cetotherium rathkii,45.189887999999996,Cetacea
Cetotherium riabinini,46.974998,Cetacea
Chaerephon aloysiisabaudiae,6.725,Chiroptera
Chaerephon ansorgei,-5.01125,Chiroptera
Chaerephon atsinanana,-18.9603915,Chiroptera
Chaerephon bemmeleni,6.7381,Chiroptera
Chaerephon bivittatus,-0.23,Chiroptera
Chaerephon bregullae,-16.753357,Chiroptera
Chaerephon chapini,-12.60032,Chiroptera
Chaerephon jobensis,-16.723888000000002,Chiroptera
Chaerephon jobimena,-12.93871,Chiroptera
Chaerephon johorensis,5.815,Chiroptera
Chaerephon leucogaster,-16.116017,Chiroptera
Chaerephon major,9.239999999999998,Chiroptera
Chaerephon nigeriae,-13.55,Chiroptera
Chaerephon plicatus,11.56516,Chiroptera
Chaerephon pusillus,-1.533333,Chiroptera
Chaerephon russatus,2.7096555,Chiroptera
Chaerephon shortridgei,-19.08,Chiroptera
Chaerephon solomonis,-8.261932,Chiroptera
