"","usescientificName","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16"
"107","Bathyergus suillus","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Bdeogale nigripes","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Beatragus hunteri","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Belomys pearsonii","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Berardius bairdii","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Berylmys bowersi","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Berylmys manipulus","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Bison bison","construction_or_structural_materials","establishing_ex_situ_production","fibre","food_human","handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA
"115","Biswamoyopterus biswasi","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Blastocerus dichotomus","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Boneia bidens","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Boselaphus tragocamelus","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Bos gaurus","food_human","handicrafts_jewellery","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Bos javanicus","food_human","handicrafts_jewellery","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Bos mutus","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Bos sauveli","food_human","handicrafts_jewellery","medicine","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Brachylagus idahoensis","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Brachytarsomys albicauda","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Brachytarsomys villosa","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Brachyteles arachnoides","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Brachyteles hypoxanthus","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Bradypus torquatus","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Bradypus tridactylus","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Bradypus variegatus","food_human","medicine","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Bubalus arnee","food_human","handicrafts_jewellery","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Bubalus depressicornis","food_human","medicine","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
