"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication"
"133","Przewalskium albirostris","albirostris","Przewalskium",30,355,24,29,1,35,9,0.257,7,4,345531,"Cervidae","Artiodactyla",161681.9,1,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,1,5.20866140413582,NA,NA,"","Partially-domesticated"
"134","Rhizomys sinensis","sinensis","Rhizomys",22,472,21,21,0,65,9,0.138,9,4,45212,"Spalacidae","Rodentia",865,1,"Yes",29.083334,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,1,2.93701610746481,102.999999999999,30.0201656123621,"","Partially-domesticated"
"135","Rhizomys sumatrensis","sumatrensis","Rhizomys",6,117,6,6,0,25,3,0.12,3,1,3608574,"Spalacidae","Rodentia",1625,1,"Yes",15.33333,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,3.21085336531489,102.999999999998,21.0194557775522,"","Partially-domesticated"
"136","Suricata suricatta","suricatta","Suricata",282,9520,99,269,4,58,53,0.914,182,11,803645,"Herpestidae","Carnivora",725.5,1,"Yes",-26.98,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72427586960079,1.73239375982297,2.86063741677375,22.569853037708,-26.6561922290875,"","Partially-domesticated"
"137","Sus celebensis","celebensis","Sus",23,573,21,21,0,38,8,0.211,8,2,418120,"Suidae","Artiodactyla",55000,1,"Yes",0.316667,"Near Threatened","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,4.74036268949424,124,1.00015234351658,"","Partially-domesticated"
"138","Sus scrofa","scrofa","Sus",56509,1654806,3992,0,0,112,324,2.893,33892,56,730013,"Suidae","Artiodactyla",96118.09,1,"No",NA,"Least Concern","establishing_ex_situ_production","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51054501020661,2.51188336097887,4.98280513218282,NA,NA,"","Partially-domesticated"
"139","Syncerus caffer","caffer","Syncerus",713,17736,227,0,0,58,63,1.086,419,12,644255,"Bovidae","Artiodactyla",580002.68,1,"No",NA,"Near Threatened","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79934054945358,1.80617997398389,5.76343000029832,NA,NA,"","Partially-domesticated"
"140","Tamandua mexicana","mexicana","Tamandua",31,232,24,28,2,34,7,0.206,6,2,273227,"Myrmecophagidae","Pilosa",4209.98,1,"Yes",10.0016535,"Least Concern","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,3.62428003267408,-86.1535758246275,13.4635013324005,"","Partially-domesticated"
"141","Tamandua tetradactyla","tetradactyla","Tamandua",139,1265,96,136,2,91,19,0.209,37,6,1014324,"Myrmecophagidae","Pilosa",5515.06,1,"Yes",-3.133333,"Least Concern","food_human","handicrafts_jewellery","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27875360095283,1.30102999566398,3.74155024162248,-69.4854459565422,3.25233318030261,"","Partially-domesticated"
"142","Tamias sibiricus","sibiricus","Tamias",180,2279,111,174,1,52,25,0.481,66,9,659097,"Sciuridae","Rodentia",85,1,"Yes",50.810695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39794000867204,1.41497334797082,1.92941892571429,105.132053700048,50.6288838671705,"","Partially-domesticated"
"143","Taurotragus derbianus","derbianus","Taurotragus",28,199,26,28,0,88,8,0.091,7,1,147238,"Bovidae","Artiodactyla",680000,1,"Yes",8.481117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,5.83250891270624,-16.335270800447,13.674591886274,"","Partially-domesticated"
"144","Tragelaphus angasii","angasii","Tragelaphus",102,1686,75,102,0,56,22,0.393,46,3,40135,"Bovidae","Artiodactyla",86600.42,1,"Yes",-26.47608,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34242268082221,1.36172783601759,4.93751999829033,28.3491708812561,-28.0529207273017,"","Partially-domesticated"
"145","Tragelaphus oryx","oryx","Tragelaphus",268,5567,152,257,3,71,37,0.521,140,8,70832,"Bovidae","Artiodactyla",NA,NA,"Yes",-21.4315795,"Least Concern","food_human","handicrafts_jewellery","pets_display_animals_horticulture","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56820172406699,1.57978359661681,NA,24.7710598639802,-26.6016999809569,"","Partially-domesticated"
"146","Tragelaphus scriptus","scriptus","Tragelaphus",160,3034,85,153,1,66,31,0.47,71,6,561121,"Bovidae","Artiodactyla",43250.39,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,1.50514997831991,4.63599002796463,NA,NA,"","Partially-domesticated"
"147","Tragelaphus strepsiceros","strepsiceros","Tragelaphus",231,5926,121,222,3,56,41,0.732,131,6,70827,"Bovidae","Artiodactyla",213501.04,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61278385671974,1.6232492903979,5.32939999488873,NA,NA,"","Partially-domesticated"
"148","Urocyon cinereoargenteus","cinereoargenteus","Urocyon",261,5398,113,0,0,54,38,0.704,133,11,685113,"Canidae","Carnivora",3833.72,1,"Yes",31.9167033443261,"Least Concern","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57978359661681,1.5910646070265,3.58362039052026,-96.3109432613037,34.4061928697822,"","Partially-domesticated"
"149","Urocyon littoralis","littoralis","Urocyon",102,2561,56,95,4,31,27,0.871,60,6,682591,"Canidae","Carnivora",1896,1,"No",NA,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43136376415899,1.44715803134222,3.27783833300205,NA,NA,"","Partially-domesticated"
"150","Urva edwardsii","edwardsii","Urva",36,533,26,32,1,74,10,0.135,11,3,770756,"Herpestidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.04139268515822,NA,NA,NA,"","Partially-domesticated"
"151","Urva javanica","javanica","Urva",130,1658,86,118,5,54,23,0.426,48,5,815154,"Herpestidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36172783601759,1.38021124171161,NA,NA,NA,"","Partially-domesticated"
"152","Vicugna pacos","pacos","Vicugna",356,2091,140,330,6,20,21,1.05,64,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32221929473392,1.34242268082221,NA,NA,NA,"","Domesticated"
"153","Vicugna vicugna","vicugna","Vicugna",183,2034,113,163,7,60,22,0.367,80,6,986959,"Camelidae","Artiodactyla",47499.61,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34242268082221,1.36172783601759,4.67669004382396,NA,NA,"","Partially-domesticated"
"154","Vulpes corsac","corsac","Vulpes",33,413,27,33,0,152,10,0.066,10,2,523960,"Canidae","Carnivora",2400,1,"Yes",51.3065665,"Least Concern","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.04139268515822,3.38021124171161,81.2505125913949,54.1901135899493,"","Partially-domesticated"
"155","Vulpes lagopus","lagopus","Vulpes",442,5345,194,413,11,109,34,0.312,165,14,775766,"Canidae","Carnivora",3584.37,1,"No",NA,"Least Concern","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53147891704226,1.54406804435028,3.55441283376475,NA,NA,"","Partially-domesticated"
"156","Vulpes macrotis","macrotis","Vulpes",145,2702,62,138,6,48,31,0.646,71,6,297453,"Canidae","Carnivora",4499.97,1,"No",NA,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,1.50514997831991,3.65320961846915,NA,NA,"","Partially-domesticated"
"157","Vulpes pallida","pallida","Vulpes",7,128,7,6,0,123,3,0.024,3,1,3612512,"Canidae","Carnivora",2800.01,1,"Yes",16.224017,"Least Concern","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,3.44715958239117,-12.1962327726736,16.6139058516717,"","Partially-domesticated"
"158","Vulpes velox","velox","Vulpes",125,2267,46,119,5,48,27,0.562,66,2,297455,"Canidae","Carnivora",2197.51,1,"Yes",34.87925,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43136376415899,1.44715803134222,3.34193086005295,-107.948935408383,34.1793668610548,"","Partially-domesticated"
"159","Vulpes vulpes","vulpes","Vulpes",3556,77691,837,0,0,152,100,0.658,1938,24,821964,"Canidae","Carnivora",5476.17,1,"No",NA,"Least Concern","establishing_ex_situ_production","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.00432137378264,3.73847692173294,NA,NA,"","Partially-domesticated"
"160","Vulpes zerda","zerda","Vulpes",70,1315,44,68,1,60,21,0.35,35,7,315465,"Canidae","Carnivora",1100,1,"Yes",29.868026,"Least Concern","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32221929473392,1.34242268082221,3.04139268515822,-14.0080153000703,20.7629553727596,"","Partially-domesticated"
