"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"466","Allocebus trichotis","Cheirogaleidae",77.5,1
"467","Cheirogaleus crossleyi","Cheirogaleidae",285.39,0
"468","Cheirogaleus major","Cheirogaleidae",450,1
"469","Cheirogaleus medius","Cheirogaleidae",181,1
"470","Cheirogaleus minusculus","Cheirogaleidae",285.39,0
"471","Cheirogaleus ravus","Cheirogaleidae",285.39,0
"472","Cheirogaleus sibreei","Cheirogaleidae",285.39,0
"473","Cheirogaleus adipicaudatus","Cheirogaleidae",285.39,0
"474","Microcebus murinus","Cheirogaleidae",69,1
"475","Microcebus tavaratra","Cheirogaleidae",68.01,1
"476","Microcebus sambiranensis","Cheirogaleidae",49.06,1
"477","Microcebus rufus","Cheirogaleidae",42.5,1
"478","Microcebus griseorufus","Cheirogaleidae",70.24,1
"479","Microcebus berthae","Cheirogaleidae",33.45,1
"480","Microcebus myoxinus","Cheirogaleidae",30,1
"481","Microcebus ravelobensis","Cheirogaleidae",55,1
"482","Mirza coquereli","Cheirogaleidae",308,1
"483","Phaner electromontis","Cheirogaleidae",425,1
"484","Phaner furcifer","Cheirogaleidae",400,1
"485","Phaner pallescens","Cheirogaleidae",425,1
"486","Phaner parienti","Cheirogaleidae",425,1
"487","Eulemur albocollaris","Lemuridae",2397.37,1
"488","Eulemur sanfordi","Lemuridae",2394.03,1
"489","Eulemur rufus","Lemuridae",2394.62,1
"490","Eulemur rubriventer","Lemuridae",1400,1
"491","Eulemur mongoz","Lemuridae",1600,1
"492","Eulemur macaco","Lemuridae",2040,1
"493","Eulemur fulvus","Lemuridae",3150,1
"494","Eulemur coronatus","Lemuridae",1650,1
"495","Eulemur cinereiceps","Lemuridae",2114.06,0
"496","Eulemur albifrons","Lemuridae",2300,1
"497","Eulemur collaris","Lemuridae",2375,1
"498","Hapalemur alaotrensis","Lemuridae",1616.83,1
"499","Hapalemur occidentalis","Lemuridae",750,1
"500","Hapalemur griseus","Lemuridae",1400,1
"501","Hapalemur aureus","Lemuridae",1575,1
"502","Lemur catta","Lemuridae",2900,1
"503","Prolemur simus","Lemuridae",2030.41,1
"504","Varecia rubra","Lemuridae",3872.6,1
"505","Varecia variegata","Lemuridae",3850,1
"506","Lepilemur leucopus","Lepilemuridae",650,1
"507","Lepilemur septentrionalis","Lepilemuridae",750,1
"508","Lepilemur ruficaudatus","Lepilemuridae",700,1
"509","Lepilemur microdon","Lepilemuridae",900,1
"510","Lepilemur edwardsi","Lepilemuridae",700,1
"511","Lepilemur dorsalis","Lepilemuridae",500,1
"512","Lepilemur ankaranensis","Lepilemuridae",700.89,0
